34届,黄金时代,许鞍华,2014,剧情/爱情/传记,豆瓣7.1/IMDB6.4
33届,一代宗师,王家卫,2013,剧情/动作/传记,豆瓣7.6/IMDB6.5
32届,寒战,梁乐民,2012,剧情/动作/犯罪,豆瓣7.4/IMDB6.7
31届,桃姐,许鞍华,2012,剧情,豆瓣8.2/IMDB7.6
30届,打擂台,郭子健,2010,剧情/喜剧/动作,豆瓣7.1/IMDB6.6
29届,十月围城,陈德森,2009,剧情/动作/历史,豆瓣7.7/IMDB6.9
28届,叶问,叶伟信,2008,剧情/动作/传记,豆瓣7.6/IMDB8.1
27届,投名状,陈可辛,2007,剧情/动作/战争,豆瓣6.8/IMDB7.1
26届,父子,谭家明,2006,剧情/家庭,豆瓣6.8/IMDB6.9
25届,黑社会,杜琪峰,2005,剧情/惊悚/犯罪,豆瓣7.7/IMDB7.1
24届,功夫,周星驰,2004,喜剧/动作/犯罪,豆瓣7.6/IMDB7.8
23届,大块头有大智慧,杜琪峰,2003,剧情/动作/惊悚,豆瓣6.3/IMDB6.7
22届,无间道,刘伟强,2002,悬疑/惊悚/犯罪,豆瓣8.9/IMDB8.1
21届,少林足球,周星驰,2001,喜剧/动作/运动,豆瓣7.1/IMDB7.3
20届,卧虎藏龙,李安,2000,剧情/动作/爱情,豆瓣7.7/IMDB7.9
19届,千言万语,许鞍华,1999,剧情,豆瓣8.1/IMDB7.3
18届,野兽刑警,陈嘉上,1998,剧情/动作/悬疑,豆瓣7.6/IMDB7.1
17届,香港制造,陈果,1997,剧情/喜剧/爱情,豆瓣8.1/IMDB7.7
16届,甜蜜蜜,陈可辛,1996,剧情/爱情,豆瓣8.7/IMDB8.2
15届,女人四十,许鞍华,1995,剧情/家庭,豆瓣8.8/IMDB7.8
14届,重庆森林,王家卫,1994,剧情/爱情,豆瓣8.6/IMDB8.1
13届,新不了情,尔冬升,1993,剧情/爱情,豆瓣8.3/IMDB7.8
12届,笼民,张之亮,1992,剧情,豆瓣8.8/IMDB7.3
11届,跛豪,潘文杰,1991,剧情/传记/犯罪,豆瓣7.9/IMDB7.3
10届,阿飞正传,王家卫,1990,剧情/爱情/犯罪,豆瓣8.5/IMDB7.6
9届,飞越黄昏,张之亮,1989,剧情,豆瓣7.9/IMDB8.0
8届,胭脂扣,关锦鹏,1988,剧情/爱情,豆瓣8.2/IMDB7.5
7届,秋天的童话,张婉婷,1987,剧情/爱情,豆瓣8.3/IMDB7.9
6届,英雄本色,吴宇森,1986,动作/犯罪,豆瓣8.7/IMDB7.6
5届,警察故事,成龙,1985,喜剧/动作/惊悚,豆瓣7.6/IMDB7.6
4届,似水流年,严浩,1984,剧情,豆瓣8.2/IMDB7.1
3届,半边人,方育平,1983,剧情,豆瓣8.1/IMDB6.8
2届,投奔怒海,许鞍华,1982,剧情,豆瓣8.4/IMDB7.9
1届,父子情,方育平,1981,剧情,豆瓣7.7/IMDB7.6
